hometeam,awayteam,home_odds,away_odds,home_OFF_RATING,away_OFF_RATING,home_DEF_RATING,away_DEF_RATING,home_EFG_PCT,away_EFG_PCT,home_PACE,away_PACE,home_recent_win_pct,away_recent_win_pct,home_recent_avg_pts,away_recent_avg_pts,off_rating_diff,def_rating_diff,recent_win_diff,pace_diff,odds_diff,implied_home_win_pct,implied_away_win_pct,implied_win_diff
Brooklyn Nets,Toronto Raptors,100,-130,108.4,109.5,115.1,114.1,0.515,0.521,96.39,100.26,0.5,0.5,110,110,-5.699999999999989,5.599999999999994,0.0,-3.8700000000000045,230,0.01,0.007692307692307693,0.0023076923076923075
Oklahoma City Thunder,Los Angeles Lakers,-263,200,118.9,114.3,106.2,113.6,0.559,0.554,100.6,98.4,0.5,0.5,110,110,5.300000000000011,-8.099999999999994,0.0,2.1999999999999886,-463,0.0038022813688212928,0.005,-0.0011977186311787073
Atlanta Hawks,Utah Jazz,-769,565,112.8,110.4,114.5,118.4,0.541,0.536,103.63,100.77,0.5,0.5,110,110,-5.6000000000000085,4.099999999999994,0.0,2.8599999999999994,-1334,0.0013003901170351106,0.0017699115044247787,-0.0004695213873896682
Boston Celtics,Washington Wizards,-3333,1400,119.6,106.1,110.2,117.5,0.563,0.513,97.0,102.2,0.5,0.5,110,110,2.0999999999999943,4.1000000000000085,0.0,-5.200000000000003,-4733,0.00030003000300030005,0.0007142857142857143,-0.00041425571128541423
Cleveland Cavaliers,Sacramento Kings,-455,360,121.6,115.6,111.5,115.2,0.58,0.546,100.3,99.33,0.5,0.5,110,110,6.3999999999999915,-4.099999999999994,0.0,0.9699999999999989,-815,0.002197802197802198,0.002777777777777778,-0.0005799755799755801
Portland Trail Blazers,San Antonio Spurs,-196,164,111.5,113.9,114.5,115.9,0.524,0.545,99.22,99.99,0.5,0.5,110,110,-4.400000000000006,0.5999999999999943,0.0,-0.769999999999996,-360,0.00510204081632653,0.006097560975609756,-0.000995520159283226
New York Knicks,Phoenix Suns,-417,320,117.6,115.2,113.6,116.7,0.558,0.564,97.99,98.44,0.5,0.5,110,110,0.8999999999999915,-1.6000000000000085,0.0,-0.45000000000000284,-737,0.002398081534772182,0.003125,-0.0007269184652278181
Denver Nuggets,Indiana Pacers,-256,210,119.0,115.0,115.3,113.8,0.573,0.563,100.76,100.63,0.5,0.5,110,110,5.200000000000003,0.29999999999999716,0.0,0.13000000000000966,-466,0.00390625,0.004761904761904762,-0.0008556547619047623
New Orleans Pelicans,Milwaukee Bucks,250,-303,110.5,114.1,119.1,112.1,0.522,0.562,99.66,100.08,0.5,0.5,110,110,-1.5999999999999943,5.0,0.0,-0.4200000000000017,553,0.004,0.0033003300330033004,0.0006996699669966997
Golden State Warriors,Houston Rockets,-217,180,113.3,114.3,111.3,109.7,0.533,0.517,99.54,98.85,0.5,0.5,110,110,3.5999999999999943,-3.0,0.0,0.6900000000000119,-397,0.004608294930875576,0.005555555555555556,-0.0009472606246799797
