Home_Team,Away_Team,Pace_Diff,Off_Rating_Diff,Def_Rating_Diff,Matchup_Risk_Score
Memphis Grizzlies,Atlanta Hawks,1.0,3.7,2.5,2.11
Memphis Grizzlies,Chicago Bulls,1.2,3.2,3.0,2.16
Memphis Grizzlies,Washington Wizards,2.5,10.4,6.1,5.59
Memphis Grizzlies,Utah Jazz,3.8,6.1,6.6,5.05
Memphis Grizzlies,Denver Nuggets,3.9,2.8,3.1,3.41
Memphis Grizzlies,Detroit Pistons,3.9,2.9,0.5,2.92
Memphis Grizzlies,Cleveland Cavaliers,4.1,5.3,0.8,3.8
Memphis Grizzlies,Oklahoma City Thunder,4.2,2.8,5.4,4.02
Memphis Grizzlies,Indiana Pacers,4.3,0.9,2.0,2.82
Memphis Grizzlies,Toronto Raptors,4.5,6.7,2.9,4.84
Memphis Grizzlies,San Antonio Spurs,4.6,2.3,4.1,3.81
Memphis Grizzlies,Dallas Mavericks,4.7,1.7,3.2,3.5
Memphis Grizzlies,New Orleans Pelicans,4.7,6.5,6.6,5.62
Memphis Grizzlies,Milwaukee Bucks,4.8,1.9,0.2,3.01
Memphis Grizzlies,Golden State Warriors,4.8,3.1,0.8,3.49
Memphis Grizzlies,Portland Trail Blazers,4.9,6.2,2.4,4.79
Memphis Grizzlies,Houston Rockets,5.0,3.8,2.6,4.16
Memphis Grizzlies,Sacramento Kings,5.5,0.5,3.5,3.6
Memphis Grizzlies,Charlotte Hornets,6.1,9.8,3.5,6.69
Memphis Grizzlies,Los Angeles Lakers,6.2,1.7,0.9,3.79
Memphis Grizzlies,Minnesota Timberwolves,6.4,1.4,1.4,3.9
Memphis Grizzlies,LA Clippers,6.5,3.3,1.7,4.58
Memphis Grizzlies,New York Knicks,6.8,0.8,2.0,4.04
Memphis Grizzlies,Philadelphia 76ers,6.8,4.8,5.0,5.84
Memphis Grizzlies,Phoenix Suns,6.9,0.1,5.2,4.52
Memphis Grizzlies,Boston Celtics,7.6,2.8,1.7,4.98
Memphis Grizzlies,Orlando Magic,7.7,8.8,2.6,7.01
Memphis Grizzlies,Brooklyn Nets,7.8,8.2,2.4,6.84
Memphis Grizzlies,Miami Heat,8.1,5.3,1.4,5.92
Atlanta Hawks,Memphis Grizzlies,1.0,3.7,2.5,2.11
Atlanta Hawks,Chicago Bulls,0.2,0.5,0.5,0.35
Atlanta Hawks,Washington Wizards,1.5,6.7,3.6,3.48
Atlanta Hawks,Utah Jazz,2.8,2.4,4.1,2.94
Atlanta Hawks,Denver Nuggets,2.9,6.5,0.6,3.52
Atlanta Hawks,Detroit Pistons,2.9,0.8,3.0,2.29
Atlanta Hawks,Cleveland Cavaliers,3.1,9.0,3.3,4.91
Atlanta Hawks,Oklahoma City Thunder,3.2,6.5,7.9,5.13
Atlanta Hawks,Indiana Pacers,3.3,2.8,0.5,2.59
Atlanta Hawks,Toronto Raptors,3.5,3.0,0.4,2.73
Atlanta Hawks,San Antonio Spurs,3.6,1.4,1.6,2.54
Atlanta Hawks,Dallas Mavericks,3.7,2.0,0.7,2.59
Atlanta Hawks,New Orleans Pelicans,3.7,2.8,4.1,3.51
Atlanta Hawks,Milwaukee Bucks,3.8,1.8,2.3,2.9
Atlanta Hawks,Golden State Warriors,3.8,0.6,3.3,2.74
Atlanta Hawks,Portland Trail Blazers,3.9,2.5,0.1,2.72
