hometeam,awayteam,home_odds,away_odds,home_OFF_RATING,away_OFF_RATING,home_DEF_RATING,away_DEF_RATING,home_EFG_PCT,away_EFG_PCT,home_PACE,away_PACE,home_recent_win_pct,away_recent_win_pct,home_recent_avg_pts,away_recent_avg_pts,off_rating_diff,def_rating_diff,recent_win_diff,pace_diff,odds_diff,implied_home_win_pct,implied_away_win_pct,implied_win_diff
Atlanta Hawks,Orlando Magic,148,-175,112.8,108.5,114.5,109.5,0.541,0.506,103.63,96.59,0.5,0.5,110,110,3.299999999999997,6.0,0.0,7.039999999999992,323,0.006756756756756757,0.005714285714285714,0.0010424710424710429
Boston Celtics,Charlotte Hornets,-500,380,119.6,107.3,110.2,115.4,0.563,0.504,97.0,98.24,0.5,0.5,110,110,4.199999999999989,2.9000000000000057,0.0,-1.2399999999999949,-880,0.002,0.002631578947368421,-0.000631578947368421
Brooklyn Nets,New York Knicks,150,-179,108.4,117.6,115.1,113.6,0.515,0.558,96.39,97.99,0.5,0.5,110,110,-5.199999999999989,-2.5,0.0,-1.5999999999999943,329,0.006666666666666667,0.00558659217877095,0.0010800744878957172
Philadelphia 76ers,Chicago Bulls,245,-303,111.6,113.0,117.3,115.4,0.528,0.552,97.92,103.32,0.5,0.5,110,110,-3.8000000000000114,4.299999999999997,0.0,-5.3999999999999915,548,0.004081632653061225,0.0033003300330033004,0.0007813026200579245
Cleveland Cavaliers,Indiana Pacers,220,-270,121.6,115.0,111.5,113.8,0.58,0.563,100.3,100.63,0.5,0.5,110,110,7.799999999999997,-3.5,0.0,-0.3299999999999983,490,0.004545454545454545,0.003703703703703704,0.0008417508417508414
Milwaukee Bucks,Detroit Pistons,315,-400,114.1,114.4,112.1,111.7,0.562,0.55,100.08,100.37,0.5,0.5,110,110,2.3999999999999915,-2.3000000000000114,0.0,-0.29000000000000625,715,0.0031746031746031746,0.0025,0.0006746031746031745
Miami Heat,Washington Wizards,-333,270,111.2,106.1,112.4,117.5,0.54,0.513,96.88,102.2,0.5,0.5,110,110,-6.299999999999997,6.300000000000011,0.0,-5.320000000000007,-603,0.003003003003003003,0.003703703703703704,-0.0007007007007007009
Memphis Grizzlies,Dallas Mavericks,100,-118,117.7,114.5,112.3,115.0,0.555,0.551,103.85,100.13,0.5,0.5,110,110,2.700000000000003,-2.200000000000003,0.0,3.719999999999999,218,0.01,0.00847457627118644,0.0015254237288135596
Houston Rockets,Denver Nuggets,235,-294,114.3,119.0,109.7,115.3,0.517,0.573,98.85,100.76,0.5,0.5,110,110,-1.0,-9.299999999999997,0.0,-1.9100000000000108,529,0.00425531914893617,0.003401360544217687,0.0008539586047184833
Golden State Warriors,Los Angeles Clippers,-167,140,113.3,111.6,111.3,104.7,0.533,0.533,99.54,95.4,0.5,0.5,110,110,8.599999999999994,-0.29999999999999716,0.0,4.140000000000001,-307,0.005988023952095809,0.007142857142857143,-0.0011548331907613339
Portland Trail Blazers,Los Angeles Lakers,-263,215,111.5,114.3,114.5,113.6,0.524,0.554,99.22,98.4,0.5,0.5,110,110,-2.0999999999999943,0.20000000000000284,0.0,0.8199999999999932,-478,0.0038022813688212928,0.004651162790697674,-0.0008488814218763816
Minnesota Timberwolves,Utah Jazz,-5000,1600,114.8,110.4,110.6,118.4,0.551,0.536,98.28,100.77,0.5,0.5,110,110,-3.6000000000000085,0.19999999999998863,0.0,-2.489999999999995,-6600,0.0002,0.000625,-0.00042500000000000003
New Orleans Pelicans,Oklahoma City Thunder,530,-769,110.5,118.9,119.1,106.2,0.522,0.559,99.66,100.6,0.5,0.5,110,110,4.299999999999997,0.19999999999998863,0.0,-0.9399999999999977,1299,0.0018867924528301887,0.0013003901170351106,0.0005864023357950781
Sacramento Kings,Phoenix Suns,-1250,750,115.6,115.2,115.2,116.7,0.546,0.564,99.33,98.44,0.5,0.5,110,110,-1.1000000000000085,0.0,0.0,0.8900000000000006,-2000,0.0008,0.0013333333333333333,-0.0005333333333333333
San Antonio Spurs,Toronto Raptors,-200,168,113.9,109.5,115.9,114.1,0.545,0.521,99.99,100.26,0.5,0.5,110,110,-0.19999999999998863,6.400000000000006,0.0,-0.27000000000001023,-368,0.005,0.005952380952380952,-0.000952380952380952
