home_team,away_team,home_odds,away_odds,commence_time,commence_time_cst
Brooklyn Nets,Toronto Raptors,100,-130,2025-04-06 19:40:00+00:00,2025-04-06 14:40:00-05:00
Oklahoma City Thunder,Los Angeles Lakers,-263,200,2025-04-06 19:40:00+00:00,2025-04-06 14:40:00-05:00
Atlanta Hawks,Utah Jazz,-769,565,2025-04-06 22:10:00+00:00,2025-04-06 17:10:00-05:00
Boston Celtics,Washington Wizards,-3333,1400,2025-04-06 22:10:00+00:00,2025-04-06 17:10:00-05:00
Cleveland Cavaliers,Sacramento Kings,-455,360,2025-04-06 22:10:00+00:00,2025-04-06 17:10:00-05:00
Portland Trail Blazers,San Antonio Spurs,-196,164,2025-04-06 22:10:00+00:00,2025-04-06 17:10:00-05:00
New York Knicks,Phoenix Suns,-417,320,2025-04-06 23:10:00+00:00,2025-04-06 18:10:00-05:00
Denver Nuggets,Indiana Pacers,-256,210,2025-04-07 00:10:00+00:00,2025-04-06 19:10:00-05:00
New Orleans Pelicans,Milwaukee Bucks,250,-303,2025-04-07 00:30:00+00:00,2025-04-06 19:30:00-05:00
Golden State Warriors,Houston Rockets,-217,180,2025-04-07 00:40:00+00:00,2025-04-06 19:40:00-05:00
