year,stat_type,rank,player,team,name
2022,passing,1,1,UNK,Patrick MahomesKC
2022,passing,2,2,UNK,Justin HerbertLAC
2022,passing,3,3,UNK,Tom BradyTB
2022,passing,4,4,UNK,Kirk CousinsMIN
2022,passing,5,5,UNK,Joe BurrowCIN
2022,passing,6,6,UNK,Jared GoffDET
2022,passing,7,7,UNK,Josh AllenBUF
2022,passing,8,8,UNK,Geno SmithSEA
2022,passing,9,9,UNK,Trevor LawrenceJAX
2022,passing,10,10,UNK,Jalen HurtsPHI
2022,passing,11,11,UNK,Aaron RodgersGB
2022,passing,12,12,UNK,Tua TagovailoaMIA
2022,passing,13,13,UNK,Russell WilsonDEN
2022,passing,14,14,UNK,Derek CarrLV
2022,passing,15,15,UNK,Daniel JonesNYG
2022,passing,16,16,UNK,Davis MillsHOU
2022,passing,17,17,UNK,Matt RyanIND
2022,passing,18,18,UNK,Mac JonesNE
2022,passing,19,19,UNK,Andy DaltonNO
2022,passing,20,20,UNK,Dak PrescottDAL
2022,passing,21,21,UNK,Jacoby BrissettCLE
2022,passing,22,22,UNK,Ryan TannehillTEN
2022,passing,23,23,UNK,Jimmy GaroppoloSF
2022,passing,24,24,UNK,Kenny PickettPIT
2022,passing,25,25,UNK,Kyler MurrayARI
2022,passing,26,26,UNK,Lamar JacksonBAL
2022,passing,27,26,UNK,Justin FieldsCHI
2022,passing,28,28,UNK,Marcus MariotaATL
2022,passing,29,29,UNK,Baker MayfieldLAR/CAR
2022,passing,30,30,UNK,Matthew StaffordLAR
2022,passing,31,31,UNK,Taylor HeinickeWSH
2022,passing,32,32,UNK,Carson WentzWSH
2022,passing,33,33,UNK,Zach WilsonNYJ
2022,passing,34,34,UNK,Brock PurdySF
2022,passing,35,35,UNK,Mitchell TrubiskyPIT
2022,passing,36,36,UNK,Mike WhiteNYJ
2022,passing,37,37,UNK,Sam DarnoldCAR
2022,passing,38,38,UNK,Deshaun WatsonCLE
2022,passing,39,39,UNK,Joe FlaccoNYJ
2022,passing,40,39,UNK,Cooper RushDAL
2022,passing,41,41,UNK,Jameis WinstonNO
2022,passing,42,42,UNK,Bailey ZappeNE
2022,passing,43,43,UNK,Colt McCoyARI
2022,passing,44,44,UNK,PJ WalkerCAR
2022,passing,45,45,UNK,Desmond RidderATL
2022,passing,46,46,UNK,Teddy BridgewaterMIA
2022,passing,47,47,UNK,Gardner MinshewPHI
2022,passing,48,48,UNK,Tyler HuntleyBAL
2022,passing,49,49,UNK,Jarrett StidhamLV
2022,passing,50,50,UNK,Sam EhlingerIND
