year,stat_type,rank,player,team,name
2023,receiving,1,1,UNK,Tyreek HillMIA
2023,receiving,2,2,UNK,CeeDee LambDAL
2023,receiving,3,3,UNK,Amon-Ra St. BrownDET
2023,receiving,4,4,UNK,Puka NacuaLAR
2023,receiving,5,5,UNK,A.J. BrownPHI
2023,receiving,6,6,UNK,DJ MooreCHI
2023,receiving,7,7,UNK,Brandon AiyukSF
2023,receiving,8,8,UNK,Nico CollinsHOU
2023,receiving,9,9,UNK,Mike EvansTB
2023,receiving,10,10,UNK,Amari CooperCLE
2023,receiving,11,11,UNK,Keenan AllenLAC
2023,receiving,12,12,UNK,Ja'Marr ChaseCIN
2023,receiving,13,13,UNK,Stefon DiggsBUF
2023,receiving,14,14,UNK,Michael Pittman Jr.IND
2023,receiving,15,15,UNK,Davante AdamsLV
2023,receiving,16,16,UNK,George PickensPIT
2023,receiving,17,17,UNK,Chris OlaveNO
2023,receiving,18,18,UNK,DK MetcalfSEA
2023,receiving,19,19,UNK,Justin JeffersonMIN
2023,receiving,20,20,UNK,DeVonta SmithPHI
2023,receiving,21,21,UNK,DeAndre HopkinsTEN
2023,receiving,22,22,UNK,Garrett WilsonNYJ
2023,receiving,23,23,UNK,Chris GodwinTB
2023,receiving,24,24,UNK,George KittleSF
2023,receiving,25,25,UNK,Calvin RidleyJAX
2023,receiving,26,26,UNK,Adam ThielenCAR
2023,receiving,27,26,UNK,Jaylen WaddleMIA
2023,receiving,28,28,UNK,Terry McLaurinWSH
2023,receiving,29,29,UNK,Travis KelceKC
2023,receiving,30,30,UNK,Evan EngramJAX
2023,receiving,31,31,UNK,T.J. HockensonMIN
2023,receiving,32,32,UNK,Rashee RiceKC
2023,receiving,33,33,UNK,Jordan AddisonMIN
2023,receiving,34,34,UNK,Drake LondonATL
2023,receiving,35,35,UNK,Tyler LockettSEA
2023,receiving,36,36,UNK,Deebo SamuelSF
2023,receiving,37,37,UNK,Sam LaPortaDET
2023,receiving,38,38,UNK,David NjokuCLE
2023,receiving,39,39,UNK,Zay FlowersBAL
2023,receiving,40,40,UNK,Trey McBrideARI
2023,receiving,41,41,UNK,Jakobi MeyersLV
2023,receiving,42,42,UNK,Jayden ReedGB
2023,receiving,43,43,UNK,Christian KirkJAX
2023,receiving,44,44,UNK,Courtland SuttonDEN
2023,receiving,45,45,UNK,Josh DownsIND
2023,receiving,46,46,UNK,Darius SlaytonNYG
2023,receiving,47,47,UNK,Jake FergusonDAL
2023,receiving,48,48,UNK,Jerry JeudyDEN
2023,receiving,49,49,UNK,Gabe DavisBUF
2023,receiving,50,50,UNK,Cooper KuppLAR
