year,stat_type,rank,player,team,name
2024,rushing,1,1,UNK,Saquon BarkleyPHI
2024,rushing,2,2,UNK,Derrick HenryBAL
2024,rushing,3,3,UNK,Bijan RobinsonATL
2024,rushing,4,4,UNK,Jonathan TaylorIND
2024,rushing,5,5,UNK,Jahmyr GibbsDET
2024,rushing,6,6,UNK,Josh JacobsGB
2024,rushing,7,7,UNK,Kyren WilliamsLAR
2024,rushing,8,8,UNK,Chuba HubbardCAR
2024,rushing,9,9,UNK,Aaron Jones Sr.MIN
2024,rushing,10,10,UNK,Bucky IrvingTB
2024,rushing,11,11,UNK,James ConnerARI
2024,rushing,12,12,UNK,Tony PollardTEN
2024,rushing,13,12,UNK,Rico DowdleDAL
2024,rushing,14,14,UNK,Najee HarrisPIT
2024,rushing,15,15,UNK,Joe MixonHOU
2024,rushing,16,16,UNK,James CookBUF
2024,rushing,17,17,UNK,Chase BrownCIN
2024,rushing,18,18,UNK,D'Andre SwiftCHI
2024,rushing,19,19,UNK,Alvin KamaraNO
2024,rushing,20,20,UNK,Lamar JacksonBAL
2024,rushing,21,21,UNK,De'Von AchaneMIA
2024,rushing,22,22,UNK,J.K. DobbinsLAC
2024,rushing,23,23,UNK,Jayden DanielsWSH
2024,rushing,24,24,UNK,Breece HallNYJ
2024,rushing,25,25,UNK,Tyrone Tracy Jr.NYG
2024,rushing,26,26,UNK,Rhamondre StevensonNE
2024,rushing,27,27,UNK,Brian Robinson Jr.WSH
2024,rushing,28,28,UNK,Jordan MasonSF
2024,rushing,29,29,UNK,David MontgomeryDET
2024,rushing,30,30,UNK,Tank BigsbyJAX
2024,rushing,31,31,UNK,Kareem HuntKC
2024,rushing,32,32,UNK,Tyler AllgeierATL
2024,rushing,33,33,UNK,Jalen HurtsPHI
2024,rushing,34,34,UNK,Rachaad WhiteTB
2024,rushing,35,35,UNK,Kenneth Walker IIISEA
2024,rushing,36,36,UNK,Kyler MurrayARI
2024,rushing,37,37,UNK,Zach CharbonnetSEA
2024,rushing,38,38,UNK,Jerome FordCLE
2024,rushing,39,39,UNK,Travis Etienne Jr.JAX
2024,rushing,40,40,UNK,Antonio GibsonNE
2024,rushing,41,41,UNK,Josh AllenBUF
2024,rushing,42,42,UNK,Javonte WilliamsDEN
2024,rushing,43,43,UNK,Jaylen WarrenPIT
2024,rushing,44,44,UNK,Emanuel WilsonGB
2024,rushing,45,45,UNK,Anthony Richardson Sr.IND
2024,rushing,46,46,UNK,Jaleel McLaughlinDEN
2024,rushing,47,47,UNK,Caleb WilliamsCHI
2024,rushing,48,48,UNK,Cam AkersHOU/MIN
2024,rushing,49,49,UNK,Ray DavisBUF
2024,rushing,50,50,UNK,Devin SingletaryNYG
