date,num_bets,accuracy,total_roi,avg_roi,value_bets,value_winrate,trap_winrate
2025-03-27,8,0.75,-0.13,-0.02,8,0.75,
2025-03-28,7,0.857,0.99,0.14,7,0.857,
2025-03-29,7,0.714,0.87,0.12,7,0.714,
2025-03-30,8,0.75,0.71,0.09,8,0.75,
2025-03-31,8,0.75,0.7,0.09,8,0.75,
2025-04-01,7,0.714,0.26,0.04,7,0.714,
2025-04-03,6,0.833,0.33,0.06,0,,
2025-04-04,10,0.9,1.27,0.13,0,,
2025-04-05,1,1.0,0.12,0.12,0,,
2025-04-06,10,0.6,-1.99,-0.2,0,,
2025-04-07,2,0.5,-0.91,-0.45,0,,
2025-04-08,10,0.7,-1.17,-0.12,1,0.0,
2025-04-09,10,0.7,0.45,0.05,0,,
2025-04-10,5,1.0,1.92,0.38,0,,
2025-04-11,15,0.8,-0.52,-0.03,0,,
2025-04-15,1,1.0,0.42,0.42,0,,
2025-04-20,4,1.0,1.24,0.31,0,,
2025-04-21,2,0.0,-2.0,-1.0,1,0.0,
